sku;short_description;adapt;regular_price
PVA9-DS01-3X;200? Welded Differential Probe Head;Digital Oscilloscope; 141 649 ? 
PVA9-DS01-6X;450? Welded Differential Probe Head;Digital Oscilloscope; 141 649 ? 
PVA9-R-150;Lead resistance of welded probe head (150?, 4 pieces);Digital Oscilloscope; 35 974 ? 
PVA9-Steel Wire-015;Steel wire for handheld probe head (length 30cm, diameter 0.15mm);Digital Oscilloscope; 4 497 ? 
PVA9-Steel Wire-017;Steel wire for handheld probe head (length 30cm, diameter 0.17mm);Digital Oscilloscope; 4 497 ? 
PVP2150;150MHz,10:1/1:1,Passive High Impedance Probe(One Probe Kit);Oscilloscopes General Accessories; 6 376 ? 
PVP2350;350MHz,10:1/1:1,Passive High Impedance Probe(One Probe Kit);Oscilloscopes General Accessories; 8 254 ? 
PVP3150;150MHz, 10:1/1:1, Passive High Impedance Probe (One Probe Kit);Digital Oscilloscope; 6 376 ? 
RA5040K;40dB Attenuator;40dB Attenuator; 6 283 ? 
RF Adaptor Kit;Include: N(F)-N(F) Adaptor (1pcs), N(M)-N(M) Adaptor (1pcs), N(M)-SMA(F) Adaptor (2pcs), N(M)-BNC(F) Adaptor (2pcs), SMA(F)-SMA(F) Adaptor (1pcs), SMA(M)-SMA(M) Adaptor (1pcs), BNC T Type Adaptor (1pcs), 50 ? SMA Load (1pcs), 50 ? BNC Impedance Adapter (1pcs);DSA,DSG; 48 171 ? 
RF Attenuator Kit;Include: 6dB Attenuator (1pcs), 10dB Attenuator (2pcs);DSA,DSG; 77 493 ? 
RF CATV Kit;Include: 50 ? to 75 ? Adaptor (2pcs);DSA,DSG; 60 738 ? 
RM-1-DG1000Z;1 unit Rack Mount Kit;DG1000Z; 10 472 ? 
RM-1-DP700;Rack Mount Kit for one unit;DP700; 12 566 ? 
RM-1-DP800;Rack Mount Kit;DP800; 18 850 ? 
RM-1-M300;1 unit Rack Mount Kit;M300; 39 794 ? 
RM-2-DG1000Z;2 units Rack Mount Kit;DG1000Z; 14 661 ? 
RM-2-DP700;Rack Mount Kit for two units;DP700; 12 566 ? 
RM-2-DP800;Rack Mount Kit;DP800; 16 755 ? 
RM-2-M300;2 units Rack Mount Kit;M300; 43 982 ? 
RM-3-DP700;Rack Mount Kit for three units;DP700; 12 566 ? 
RM5041;Ultra-Portable Platform Rack Mount Kit;RM5041; 21 129 ? 
RM6041;Rack Mount Kit;RSA; 43 982 ? 
RM6051;Thunderbird Platform Rack Mount Kit;RM6051; 31 909 ? 
RM7011;Rack mounting kit compatible with DG70000 and DS70000 series;DG70000&DS70000; 42 689 ? 
RM-DG;Rack Mount Kit;DG1000; 25 133 ? 
RM-DG4000;Rack Mount Kit;DG4000; 23 038 ? 
RM-DG4000/DS1000Z;Rack Mount Kit;COMMON; 23 038 ? 
RM-DG5000;Rack Mount Kit;DG5000; 33 510 ? 
RM-DM3000;Rack Mount Kit;DMM Accessories; 18 850 ? 
RM-DS2000;Rack Mount Kit;Rack Mount Kit; 56 549 ? 
RM-DS4000;Rack Mount Kit;Rack Mount Kit; 50 266 ? 
RM-DS6000;Rack Mount Kit;Rack Mount Kit; 67 021 ? 
RM-DSA800;Rack Mount Kit;DSA800; 56 549 ? 
RM-DSG3000;Rack Mount Kit;DSG3000; 14 661 ? 
RP1000P;4CH Power Supply for Current Probe;4CH Power Supply for Current Probe; 261 184 ? 
RP1001C;300kHz, 100A DC;300kHz, 100A DC; 123 570 ? 
RP1002C;1MHz, 70A DC;1MHz, 70A DC; 253 422 ? 
RP1003C;50MHz, 30A;50MHz, 30A; 556 864 ? 
RP1004C;100MHz, 30A;100MHz, 30A; 805 728 ? 
RP1005C;10MHz, 150A;10MHz, 150A; 721 952 ? 
RP1006C;2MHz?500A;Digital Oscilloscope; 876 876 ? 
RP1010H;10kV, 50MHz High Voltage Probe;10kV, 50MHz High Voltage Probe; 73 304 ? 
RP1018H;18kV 150MHz High Voltage Probe;18kV 150MHz High Voltage Probe; 146 608 ? 
RP1025D;25MHz, 1.3kV;25MHz, 1.3kV; 67 021 ? 
RP1050D;50MHz, 6.5kV;50MHz, 6.5kV; 96 342 ? 
RP1100D;100MHz, 6.5kV;100MHz, 6.5kV; 111 003 ? 
RP1300H;300MHz High Voltage Probe(2KV);300MHz High Voltage Probe(2KV); 35 605 ? 
RP3500A;500MHz Passive High impedance Probe;500MHz Passive High impedance Probe; 33 510 ? 
RP6150A;1.5GHz Passive Low impedance Probe(500Ohm);1.5GHz Passive Low impedance Probe(500Ohm); 48 171 ? 
RP7080;800MHz Active Differential Probe;DS6000 MSO/DS4000; 312 066 ? 
RP7080S;800MHz Single-Ended Active Probe;DS6000 MSO/DS4000; 154 986 ? 
RP7150;1.5GHz Active Differential Probe;1.5GHz Active Differential Probe; 661 830 ? 
RP7150S;1.5GHz Single-Ended Active Probe;DS6000 MSO/DS4000; 376 992 ? 
RPA246;Power analysis phase difference calibration fixture;Digital Oscilloscope; 8 378 ? 
RPL1116;MSO1000Z Logic probe,16 channels;MSO1000Z; 33 634 ? 
RPL2316;MSO4000/2000A logic probe,16 channels;MSO4000,MSO2000A; 62 832 ? 
RSA3000-AMK;Advanced Measurement Kit;RSA3000; 90 059 ? 
RSA3000-B25;Realtime Analysis Bandwidth 25MHz;RSA3000; 134 042 ? 
RSA3000-B40;Realtime Analysis Bandwidth 40MHz;RSA3000; 222 006 ? 
RSA3000-BW1;RBW for 1Hz to 10MHz;RSA3000; 58 643 ? 
RSA3000E-AMK;Advanced Measurement Kit (for RSA3000E);RSA3000E; 90 059 ? 
RSA3000E-ASK/FSK;ASK/FSK demodulation option (for RSA3000E);RSA3000E; 90 059 ? 
RSA3000E-EMC;EMC filter and QP detector kit (for RSA3000E);RSA3000E; 58 643 ? 
RSA3000E-EMI;EMI pre-compliance test mode (for RSA3000E);RSA3000E; 134 042 ? 
RSA3000-EMC;EMI Filter and Detector;RSA3000; 73 304 ? 
RSA3000-EMI;EMI Measurement Application;RSA3000; 148 702 ? 
RSA3000E-PA;RSA3000E preamplifier;RSA3000E; 43 982 ? 
RSA3000-PA;Pre-amplifier;RSA3000; 37 699 ? 
RSA5000-AMK;Advanced Measurement Kit;RSA; 90 059 ? 
RSA5000-B40;Realtime Analysis Bandwidth;RSA; 222 006 ? 
RSA5000-EMI;EMI Measurement Application;RSA5000; 148 702 ? 
RSA5000-PA;Pre-amplifier;RSA; 58 643 ? 
RSA5000-VSA;Vector Signal Analysis Measurement Application;RSA5000; 297 405 ? 
RSA6000-ADM;Analog Demodulation Application Software;RSA6000; 226 380 ? 
RSA6000-AMK;Advanced Measurement Kit;RSA6000; 133 980 ? 
RSA6000-B200;200 MHz Analysis Bandwidth;RSA6000; 457 380 ? 
RSA6000-BTX;Bluetooth LE TX Measurement;RSA6000; 549 780 ? 
RSA6000-EMI;EMI Measurement Application Software;RSA6000; 226 380 ? 
RSA6000-LORA;LORA Measurement;RSA6000; 457 380 ? 
RSA6000-P08;Preamplifier (PA), 8.5 GHz;RSA6000; 180 180 ? 
RSA6000-P14;Preamplifier (PA), 14 GHz;RSA6000; 318 780 ? 
RSA6000-P26;Preamplifier (PA), 26.5 GHz;RSA6000; 457 380 ? 
RSA6000-PNOISE;Phase Noise Measurement;RSA6000; 226 380 ? 
RSA6000-PULSE;Pulse Measurement;RSA6000; 549 780 ? 
RSA6000-RB200;200 MHz Real-time Bandwidth;RSA6000; 688 380 ? 
RSA6000-T08;8.5 GHz Tracking Generator Output;RSA6000; 226 380 ? 
RSA6000-VSA;Vector Signal Analysis Application Software;RSA6000; 457 380 ? 
RSA6000-ZGB;ZIGBEE Measurement;RSA6000; 457 380 ? 
RSA800-ADM;Analog Demodulation Application Software;RSA800; 61 908 ? 
RSA800-AMK;Advanced Measurement Kit;RSA800; 36 498 ? 
RSA800-EMI;EMI Measurement Application Software;RSA800; 61 908 ? 
RSA800-PNOISE;Phase Noise Measurement;RSA800; 61 908 ? 
RSA800-VSA;Vector Signal Analysis Application Software;RSA800; 126 588 ? 
RX1000;RF Demo Kit (Receiver);DSA,DSG; 134 042 ? 
S1210;EMI Pre-compliance Software?Accessory for DSA;DSA; 77 493 ? 
S1220;;; 60 738 ? 
SKT7150;Differential socketed probe head kit;Digital Oscilloscope; 13 490 ? 
SLEWRATE-DL3;High Slew Rate Option;DL3000; 16 755 ? 
SPG-DP800;Green Safty Plug for DP800;DP800; 8 378 ? 
SSC-DSA;Signal Seamless Capture function;DSA; 31 416 ? 
T2R1000;Tektronix Probe to RIGOL adapter;Tektronix Probe to RIGOL adapter; 48 171 ? 
TF-AENET-CME-STP;Automotive Ethernet Common-Mode Emission Board;Digital Oscilloscope; 28 151 ? 
TF-AENET-MAT-STP;In-car Ethernet adapter SMA-MATEnet;Digital Oscilloscope; 72 965 ? 
TF-AENET-MB-STP;Car Ethernet distribution board;Digital Oscilloscope; 229 583 ? 
TF-AENET-MTD-STP;Onboard Ethernet adapter SMA-H-MTD;Digital Oscilloscope; 72 965 ? 
TF-AENET-PAD-STP;Car Ethernet welded adapter;Digital Oscilloscope; 72 965 ? 
TFB-AENET-MAT-STP;Car Ethernet MATEnet interface fixture kit;Digital Oscilloscope; 333 995 ? 
TFB-AENET-MTD-STP;Car Ethernet H-MTD interface fixture kit;Digital Oscilloscope; 333 995 ? 
TF-ENET10G-KIT-STP;10G/5G/2.5G Ethernet Compliance Test Fixture KIT;Digital Oscilloscope; 516 732 ? 
TF-ENET10G-RL-STP;return-loss test fixture;Digital Oscilloscope; 125 171 ? 
TF-ENET-STP;10/100/1000M Ethernet Compliance Test Fixture;Digital Oscilloscope; 588 526 ? 
TF-PCIE3-CBB-STP;PCIE3 Compliance CBB;Digital Oscilloscope; 1 378 115 ? 
TF-PCIE3-CLBX1X16-STP;PCIE3 Compliance CLBX1X16;Digital Oscilloscope; 1 273 703 ? 
TF-PCIE3-CLBX4X8-STP;PCIE Compliance CLBX4X8;Digital Oscilloscope; 1 404 234 ? 
TF-PCIE3-KIT-STP;PCIE3 Compliance Test Fixture KIT;Digital Oscilloscope; 3 962 328 ? 
TF-USB30A-STP;USB-A/B Port Consistency Test Fixture;Digital Oscilloscope; 751 766 ? 
TF-USB30C-STP;USB-C Port Consisitency Test Fixture;Digital Oscilloscope; 1 127 650 ? 
TF-USBD-STP;USB2.0 Device Compliance Test Fixture;Digital Oscilloscope; 73 304 ? 
TF-USBH-STP;USB2.0 Host Compliance Test Fixture;Digital Oscilloscope; 73 304 ? 
TIMER-DP700;Options for Timer;DP700; 8 254 ? 
TIP-MCX-1000X-02;200MHz, 1000x attenuator;Digital Oscilloscope; 152 460 ? 
TIP-MCX-1000X-05;500MHz, 1000x attenuator;Digital Oscilloscope; 203 280 ? 
TIP-MCX-1000X-1;1GHz, 1000x attenuator;Digital Oscilloscope; 304 920 ? 
TIP-MCX-2000X-05;500MHz, 2000x attenuator;Digital Oscilloscope; 203 280 ? 
TIP-MCX-2000X-1;1GHz, 2000x attenuator;Digital Oscilloscope; 304 920 ? 
TIP-MCX-5000X-05;500MHz, 5000x attenuator;Digital Oscilloscope; 203 280 ? 
TIP-MCX-5000X-1;1GHz, 5000x attenuator;Digital Oscilloscope; 304 920 ? 
TIP-MCX-500X-02;200MHz, 500x attenuator;Digital Oscilloscope; 152 460 ? 
TIP-MMCX-10X-02;200MHz, 10x attenuator;Digital Oscilloscope; 152 460 ? 
TIP-MMCX-20X-02;200MHz, 20x attenuator;Digital Oscilloscope; 152 460 ? 
TIP-MMCX-20X-05;500MHz, 20x attenuator;Digital Oscilloscope; 203 280 ? 
TIP-MMCX-20X-1;1GHz, 20x attenuator;Digital Oscilloscope; 304 920 ? 
TIP-MMCX-50X-05;500MHz, 50x attenuator;Digital Oscilloscope; 203 280 ? 
TIP-MMCX-50X-1;1GHz, 50x attenuator;Digital Oscilloscope; 304 920 ? 
TRIGGER-DP700;External trigger in and Internal trigger out;DP700; 8 254 ? 
TW12-19;Torque Wrench, 12 in-lb, 19.1 mm-open end;Vector Network Analyzer; 39 054 ? 
TW8-8;Torque Wrench, 8 in-lb, 8.1 mm-open end;Vector Network Analyzer; 39 054 ? 
TX1000;RF Demo Kit (Transmitter);DSA,DG; 142 419 ? 
Ultra Acquire Pro;Full Function PC Software;M300; 136 136 ? 
Ultra Spectrum;DSA PC Software;DSA; 37 699 ? 
Ultra Station-adv;Ultra Station Advanced Function Option;Signal Generator Option; 16 755 ? 
Ultraview;DMM PC Software;DM3058/DM3058E; 18 850 ? 
UPA-DS;Ultra Power Analyzer software;DS6000 MSO/DS4000 MSO/DS2000A; 129 853 ? 
USB-GPIB;USB-GPIB;COMMON; 50 266 ? 
USB-GPIB-L;USB to GPIB module;DL3000; 52 360 ? 
USB-LAN;USB2.0 to 100Mbps Ethernet Adapter;DG; 6 838 ? 
VB1032;VSWR Bridge? 1MHz to 3.2 GHz?Directivity >= 30dB(Typ.);DSA; 104 720 ? 
VB1080;VSWR Bridge? 2GHz to 8 GHz;DSA; 108 909 ? 
VSWR-DSA800;VSWR Measure Package;DSA800; 75 398 ? 
