sku;short_description;adapt;regular_price
DS7000-AUTO;Automotive Serial Triggering and Analysis(CAN/LIN);MSO/DS7000; 134 042 ? 
DS7000-BND;Application Bundle Options?including all the serial protocol analysis software, measurement;MSO/DS7000; 297 405 ? 
DS7000-BW1T2;100MHz to 200MHz Bandwidth Upgrade Option;MSO/DS7000; 166 382 ? 
DS7000-BW1T3;100MHz to 350MHz Bandwidth Upgrade Option;MSO/DS7000; 400 215 ? 
DS7000-BW1T5;100MHz to 500MHz Bandwidth Upgrade Option;MSO/DS7000; 607 068 ? 
DS7000-BW2T3;200MHz to 350MHz Bandwidth Upgrade Option;MSO/DS7000; 240 579 ? 
DS7000-BW2T5;200MHz to 500MHz Bandwidth Upgrade Option;MSO/DS7000; 447 432 ? 
DS7000-BW3T5;350MHz to 500MHz Bandwidth Upgrade Option;MSO/DS7000; 222 592 ? 
DS7000-COMP;Computer Serial Triggering and Analysis(RS232/UART);MSO/DS7000; 134 042 ? 
DS7000-EMBD;Embedded Serial Triggering and Analysis(IIC, SPI);MSO/DS7000; 134 042 ? 
DS7000-FLEX;Automotive Serial Triggering and Analysis(FlexRay);MSO/DS7000; 134 042 ? 
DS7000-FPC;MSO/DS7000 Front Panel Cover;MSO/DS7000; 16 755 ? 
DS7000-PWR;Integrated Power Analysis;MSO/DS7000; 134 042 ? 
DS8000-R-AERO;MIL-STD1553 Bus Analysis;DS8000-R; 159 636 ? 
DS8000-R-AUDIO;I2S Bus Analysis;DS8000-R; 159 636 ? 
DS8000-R-AUTO;CAN/LIN Bus Analysis;DS8000-R; 159 636 ? 
DS8000-R-AWG;25 MHz AWG Option;DS8000-R; 112 420 ? 
DS8000-R-BND;Application Bundle Options;DS8000-R; 366 489 ? 
DS8000-R-COMP;RS232/UART Bus Analysis;DS8000-R; 159 636 ? 
DS8000-R-EMBD;I2C/SPI Bus Analysis;DS8000-R; 159 636 ? 
DS8000-R-FLEX;FlexRay Bus Analysis;DS8000-R; 159 636 ? 
DS8000-R-JITTER;Eye Diagram and Jitter;DS8000-R; 159 636 ? 
